path,distribution,family,util_bucket,n_tasks,U_total,dm_schedulable,edf_schedulable,edf_checked_points,edf_worst_violation,sim_horizon,sim_dm_missed_total,sim_edf_missed_total
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_94.csv,automotive-utilDist,automotive-perDist,0.10,10,0.101415,1,1,2,-92451,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_95.csv,automotive-utilDist,automotive-perDist,0.10,10,0.090812,1,1,4,-48750,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_96.csv,automotive-utilDist,automotive-perDist,0.10,9,0.094182,1,1,10,-19480,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_97.csv,automotive-utilDist,automotive-perDist,0.10,5,0.077241,1,1,2,-95651,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_98.csv,automotive-utilDist,automotive-perDist,0.10,10,0.12483,1,1,12,-18430,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_99.csv,automotive-utilDist,automotive-perDist,0.10,8,0.097301,1,1,10,-19250,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_0.csv,automotive-utilDist,automotive-perDist,0.20,18,0.22021,1,1,4,-49380,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_1.csv,automotive-utilDist,automotive-perDist,0.20,12,0.19599,1,1,4,-41351,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_10.csv,automotive-utilDist,automotive-perDist,0.20,22,0.229643,1,1,2,-81620,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_11.csv,automotive-utilDist,automotive-perDist,0.20,5,0.19649,1,1,20,-8140,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_12.csv,automotive-utilDist,automotive-perDist,0.20,15,0.2044,1,1,20,-8570,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_13.csv,automotive-utilDist,automotive-perDist,0.20,7,0.20363,1,1,20,-8600,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_14.csv,automotive-utilDist,automotive-perDist,0.20,13,0.107464,1,1,20,-9750,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_15.csv,automotive-utilDist,automotive-perDist,0.20,20,0.121897,1,1,4,-48300,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_16.csv,automotive-utilDist,automotive-perDist,0.20,24,0.186279,1,1,20,-9720,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_17.csv,automotive-utilDist,automotive-perDist,0.20,7,0.71494,1,1,20,-3270,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_18.csv,automotive-utilDist,automotive-perDist,0.20,12,0.19102,1,1,20,-9060,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_19.csv,automotive-utilDist,automotive-perDist,0.20,28,0.199719,1,1,20,-9820,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_2.csv,automotive-utilDist,automotive-perDist,0.20,17,0.205425,1,1,20,-9540,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_20.csv,automotive-utilDist,automotive-perDist,0.20,26,0.2197,1,1,2,-83281,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_21.csv,automotive-utilDist,automotive-perDist,0.20,22,0.108719,1,1,4,-48120,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_22.csv,automotive-utilDist,automotive-perDist,0.20,10,0.163294,1,1,20,-8850,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_23.csv,automotive-utilDist,automotive-perDist,0.20,25,0.190555,1,1,20,-9580,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_24.csv,automotive-utilDist,automotive-perDist,0.20,15,0.106879,1,1,4,-49290,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_25.csv,automotive-utilDist,automotive-perDist,0.20,19,0.200679,1,1,2,-81010,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_26.csv,automotive-utilDist,automotive-perDist,0.20,10,0.213968,1,1,20,-8720,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_27.csv,automotive-utilDist,automotive-perDist,0.20,25,0.21803,1,1,4,-49620,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.20-util/tasksets/automotive_28.csv,automotive-utilDist,automotive-perDist,0.20,15,0.196676,1,1,4,-49120,500000,0,0
